time,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume
2023-07-28,29217.05,29528.45,29121.24,29316.82,342975082.63
2023-07-29,29316.82,29406.57,29258.14,29358.76,146316009.97
2023-07-30,29358.76,29449.84,29043.43,29283.34,224246250.77
2023-07-31,29283.34,29524.99,29108.82,29231.47,426457343.16
2023-08-01,29231.47,29721.48,28564.09,29699.74,822433494.24
2023-08-02,29699.74,30029.06,28914.46,29163.69,838251477.68
2023-08-03,29163.69,29397.03,28945.61,29177.75,450334651.17
2023-08-04,29177.75,29308.95,28794.51,29078.51,375805085.38
2023-08-05,29078.51,29111.36,28953.98,29050.34,120051247.27
2023-08-06,29050.34,29164.68,28962.89,29046.16,126689336.09
2023-08-07,29046.16,29245.27,28672.37,29182.16,475156597.17
2023-08-08,29182.16,30210.36,29111.88,29770.51,786792606.34
2023-08-09,29770.51,30120.86,29356.43,29566.47,532770863.32
2023-08-10,29566.47,29707.55,29319.58,29428.1,375142806.93
2023-08-11,29428.1,29535.4,29219.56,29403.56,310027638.11
2023-08-12,29403.56,29471.12,29356.08,29417.08,102819295.5
2023-08-13,29417.08,29447.27,29257.12,29281.55,115373186.78
2023-08-14,29281.55,29664.61,29082.39,29409.22,362522208.47
2023-08-15,29409.22,29460.86,29056.77,29171.23,299026558.28
2023-08-16,29171.23,29228.22,28696.21,28702.8,479152538.98
2023-08-17,28702.8,28752.02,25328.06,26629.67,1394530695.43
2023-08-18,26629.67,26823.13,25629.62,26049.69,888090076.41
2023-08-19,26049.69,26266.25,25797.39,26095.8,265159375.46
2023-08-20,26095.8,26291.33,25983.85,26191.01,192271431.08
2023-08-21,26191.01,26248.2,25819.92,26126.18,430024076.12
2023-08-22,26126.18,26137.6,25369.8,26043.01,514473682.56
2023-08-23,26043.01,26807.82,25802.48,26429.4,672652092.31
2023-08-24,26429.4,26565.88,25859.32,26166.22,449180401.68
2023-08-25,26166.22,26291.13,25759.58,26051.29,489263026.85
2023-08-26,26051.29,26109.19,25979.58,26010.35,93024725.64
2023-08-27,26010.35,26168.79,25966.75,26091.32,107924452.3
2023-08-28,26091.32,26233.53,25861.84,26106.0,302943657.3
2023-08-29,26106.0,28154.08,25911.89,27724.41,1089036684.85
2023-08-30,27724.41,27766.41,27036.49,27305.41,520197058.0
2023-08-31,27305.41,27563.68,25683.18,25937.29,741278108.53
2023-09-01,25937.29,26137.14,25323.44,25798.79,639696809.37
2023-09-02,25798.79,25980.31,25729.66,25868.56,181289556.36
2023-09-03,25868.56,26115.72,25805.82,25971.37,160541183.85
2023-09-04,25971.37,26089.36,25636.28,25816.24,228454428.06
2023-09-05,25816.24,25878.61,25567.56,25785.01,280146729.52
2023-09-06,25785.01,26019.64,25379.85,25751.71,390027105.24
2023-09-07,25751.71,26426.41,25600.8,26264.75,491838528.79
2023-09-08,26264.75,26443.61,25650.9,25907.13,482397556.59
2023-09-09,25907.13,25936.62,25799.89,25898.41,105931726.4
2023-09-10,25898.41,26020.84,25589.02,25833.67,217583144.54
2023-09-11,25833.67,25889.38,24911.78,25157.07,619642052.88
2023-09-12,25157.07,26545.24,25128.37,25840.34,937711286.48
2023-09-13,25840.34,26432.59,25768.65,26227.49,495397769.94
2023-09-14,26227.49,26845.74,26136.39,26533.66,649517751.61
2023-09-15,26533.66,26879.57,26224.91,26605.49,459310066.65
2023-09-16,26605.49,26771.68,26459.99,26569.13,187703875.45
2023-09-17,26569.13,26621.93,26413.39,26533.12,151125765.17
2023-09-18,26533.12,27425.7,26394.81,26767.82,797114111.3
2023-09-19,26767.82,27493.85,26676.6,27219.02,670630172.73
2023-09-20,27219.02,27389.22,26814.07,27126.4,581302466.15
2023-09-21,27126.4,27162.0,26373.55,26567.47,559336631.68
2023-09-22,26567.47,26738.04,26478.87,26583.16,408613785.26
2023-09-23,26583.16,26640.84,26522.49,26585.41,139605320.21
2023-09-24,26585.41,26732.91,26146.79,26261.44,260953441.64
2023-09-25,26261.44,26439.02,25997.17,26297.93,518905094.49
2023-09-26,26297.93,26395.42,26090.75,26212.59,338286231.16
2023-09-27,26212.59,26828.5,26096.78,26360.2,638562791.04
2023-09-28,26360.2,27306.05,26328.53,27027.2,827813877.45
2023-09-29,27027.2,27233.94,26674.22,26909.4,585322764.87
2023-09-30,26909.4,27095.39,26887.09,26964.27,195916128.74
2023-10-01,26964.27,28060.49,26958.76,27994.51,464200302.08
2023-10-02,27994.51,28585.13,27312.81,27507.22,1198411956.48
2023-10-03,27507.22,27669.05,27170.07,27428.66,620603083.21
2023-10-04,27428.66,27836.54,27222.97,27789.8,497243557.18
2023-10-05,27789.8,28128.37,27363.01,27414.59,696054430.54
2023-10-06,27414.59,28280.04,27181.63,27946.61,701648471.47
2023-10-07,27946.61,28035.05,27864.11,27973.69,205394649.0
2023-10-08,27973.69,28105.36,27714.35,27933.57,238690010.87
2023-10-09,27933.57,27999.8,27282.89,27598.77,603964078.09
2023-10-10,27598.77,27735.72,27298.5,27395.4,511109469.33
2023-10-11,27395.4,27475.69,26531.55,26871.21,821395574.15
2023-10-12,26871.21,26937.98,26549.78,26756.23,438531983.5
2023-10-13,26756.23,27110.91,26674.97,26862.9,496779424.55
2023-10-14,26862.9,26982.78,26810.02,26854.52,157685357.78
2023-10-15,26854.52,27297.26,26813.06,27177.41,297110024.59
2023-10-16,27177.41,30009.15,27131.48,28518.37,1884462991.7
2023-10-17,28518.37,28628.83,28094.14,28409.46,739741149.31
2023-10-18,28409.46,28988.79,28156.7,28328.07,682875511.71
2023-10-19,28328.07,28927.17,28135.5,28733.78,730081363.3
2023-10-20,28733.78,30243.12,28596.96,29684.37,1241026952.55
2023-10-21,29684.37,30365.61,29480.22,29924.08,467626116.49
2023-10-22,29924.08,30232.64,29674.58,30001.44,414432274.92
2023-10-23,30001.44,34739.17,29898.26,33084.08,2308556876.22
2023-10-24,33084.08,35183.22,32857.8,33923.52,2559949343.79
2023-10-25,33923.52,35136.87,33698.9,34503.4,1481128342.82
2023-10-26,34503.4,34836.51,33746.16,34157.06,1248469956.72
2023-10-27,34157.06,34246.78,33406.13,33907.7,1044635721.14
2023-10-28,33907.7,34494.4,33876.07,34090.05,371696781.35
2023-10-29,34090.05,34761.09,33947.8,34535.38,469534963.71
2023-10-30,34535.38,34862.12,34090.22,34494.56,825552244.82
2023-10-31,34494.56,34726.05,34058.4,34657.73,756326173.72
2023-11-01,34657.73,35623.76,34096.9,35439.76,1190955576.06
2023-11-02,35439.76,35973.2,34323.19,34947.15,1097011932.14
2023-11-03,34947.15,34950.21,34118.29,34732.28,960199464.71
2023-11-04,34732.28,35278.07,34606.38,35086.09,377653497.47
2023-11-05,35086.09,35111.86,34963.98,35042.48,24363053.47
